,current_complaint_category,days_open,incident_location,cr_id
50073,USE OF PROFANITY,20,POLICE FACILITY/VEH PARKING LOT,1088527
50076,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,28,RESIDENCE,1088537
50088,MISCELLANEOUS,78,APARTMENT,1087566
50089,HARASSMENT,89,RESIDENCE,1087568
50096,STREET,29,STREET,1088390
50100,STREET,29,STREET,1088390
50110,PUSH/PULL/GRAB,34,PARKING LOT/GARAGE(NON.RESID.),1087295
50111,ILLEGAL ARREST / FALSE ARREST,84,SIDEWALK,1087439
50116,RACIAL PROFILING ,30,STREET,1088318
50120,USE OF PROFANITY,20,POLICE FACILITY/VEH PARKING LOT,1088527
50123,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,28,RESIDENCE,1088537
50126,MISCELLANEOUS,113,RESIDENTIAL YARD (FRONT/BACK),1087317
50147,ILLEGAL ARREST / FALSE ARREST,72,STREET,1087850
50152,DOMESTIC INCIDENT - NOT PHYSICAL,34,RESIDENCE,1087932
50153,DOMESTIC INCIDENT - NOT PHYSICAL,63,RESTAURANT,1088081
50156,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,81,STREET,1087869
50167,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,60,CTA STATION,1087620
50174,MISCELLANEOUS,78,APARTMENT,1087566
50177,ILLEGAL ARREST / FALSE ARREST,76,STREET,1087542
50179,IMPROPER DETENTION,92,STREET,1087637
50186,ILLEGAL ARREST / FALSE ARREST,88,POLICE FACILITY/VEH PARKING LOT,1087627
50187,ILLEGAL ARREST / FALSE ARREST,82,STREET,1087685
50188,IMPROPER SEARCH OF VEHICLE ,52,STREET,1087633
50190,DOMESTIC INCIDENT - NOT PHYSICAL,34,RESIDENCE,1087932
50197,RACIAL PROFILING ,12,STREET,1088188
50201,RACIAL PROFILING ,12,STREET,1088188
50202,RACIAL PROFILING ,30,STREET,1088318
50227,EXCESSIVE FORCE / ON DUTY - INJURY,33,COMMERCIAL / BUSINESS OFFICE,1053951
50228,DRAGGED,937,APARTMENT,1053701
50229,EXCESSIVE FORCE / ON DUTY - INJURY,945,SIDEWALK,1054598
50230,KICKED,314,SIDEWALK,1053913
50231,CHOKED,349,VACANT LOT/LAND,1054035
50232,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,281,STREET,1054190
50233,DRAGGED,937,APARTMENT,1053701
50234,THREATS,613,RESIDENCE,1040741
50235,CLOSED HAND STRIKE (PUNCH),755,RESIDENTIAL YARD (FRONT/BACK),1053801
50236,EXCESSIVE FORCE / OFF DUTY - INJURY,1040,BAR OR TAVERN,1054080
50237,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,223,OTHER,1053800
50238,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,867,STREET,1054138
50239,TAKE DOWN (THROWN TO GROUND),491,STREET,1054329
50240,MISCELLANEOUS,1,STREET,1054652
50241,PUSH/PULL/GRAB,982,STREET,1054237
50242,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,1539,DRIVEWAY - RESIDENTIAL,1053273
50243,INJURY,548,APARTMENT,1054821
50244,"RACIAL / ETHNIC, ETC.",83,STREET,1053881
50245,KICKED,482,VACANT LOT/LAND,1053524
50246,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,348,SIDEWALK,1054064
50247,HANDCUFF TOO TIGHT,754,STREET,1054452
50248,KICKED,513,RESIDENCE,1054446
50249,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,514,RESIDENCE,1054352
50250,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,514,RESIDENCE,1054352
50251,"RACIAL / ETHNIC, ETC.",173,STREET,1053924
50252,EXCESSIVE FORCE / ON DUTY - INJURY,711,ALLEY,1054308
50253,EXCESSIVE FORCE / ON DUTY - INJURY,1188,STREET,1053917
50254,"RACIAL / ETHNIC, ETC.",385,STREET,1053926
50255,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,518,STREET,1054196
50256,TASER (PROBE DISCHARGE),642,GAS STATION,1053916
50257,EXCESSIVE FORCE / ON DUTY - INJURY,214,SIDEWALK,1053673
50258,EXCESSIVE FORCE / ON DUTY - INJURY,169,APARTMENT,1053891
50259,TASER (PROBE DISCHARGE),642,GAS STATION,1053916
50260,EXCESSIVE FORCE / ON DUTY - INJURY,214,POLICE FACILITY/VEH PARKING LOT,1053673
50261,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1154,RESIDENCE,1054207
50262,TWISTED EXTREMITIES (WRIST/ARM/LEG),376,RESIDENCE,1053994
50263,EXCESSIVE FORCE / ON DUTY - NO INJURY,148,ALLEY,1053931
50264,OPEN HAND STRIKE (SLAP),369,PARKING LOT/GARAGE(NON.RESID.),1053571
50265,MISCELLANEOUS,546,STREET,1054372
50266,HANDCUFF TOO TIGHT,103,STREET,1054826
50267,PUSH/PULL/GRAB,982,STREET,1054237
50268,EXCESSIVE FORCE / ON DUTY - INJURY,500,STREET,1042766
50269,EXCESSIVE FORCE / ON DUTY - INJURY,33,COMMERCIAL / BUSINESS OFFICE,1053951
50270,EXCESSIVE FORCE / ON DUTY - INJURY,1188,STREET,1053917
50271,TAKE DOWN (THROWN TO GROUND),770,STREET,1054432
50272,"RACIAL / ETHNIC, ETC.",538,GAS STATION,1054233
50273,CLOSED HAND STRIKE (PUNCH),491,RESIDENCE PORCH/HALLWAY,1054187
50274,DOMESTIC INCIDENT - NOT PHYSICAL,1174,OTHER,1027928
50275,EXCESSIVE FORCE / ON DUTY - INJURY,133,STREET,1054857
50276,EXCESSIVE FORCE / ON DUTY - INJURY,500,POLICE FACILITY/VEH PARKING LOT,1042766
50277,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1247,RESIDENCE,1054914
50278,STOMPED / STEPPED ON,1001,RESIDENTIAL YARD (FRONT/BACK),1053918
50279,PUSH/PULL/GRAB,87,RESIDENCE PORCH/HALLWAY,1054831
50280,PUSH/PULL/GRAB,87,RESIDENCE PORCH/HALLWAY,1054831
50281,TAKE DOWN (THROWN TO GROUND),770,STREET,1054432
50282,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,357,CTA BUS STOP,1054159
50283,CLOSED HAND STRIKE (PUNCH),162,POLICE FACILITY/VEH PARKING LOT,1054776
50284,"RACIAL / ETHNIC, ETC.",385,STREET,1053926
50285,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,809,RESIDENCE,1053017
50286,PROPER CARE - INJURY / DEATH,1527,JAIL / LOCK-UP FACILITY,1017706
50287,CLOSED HAND STRIKE (PUNCH),755,RESIDENTIAL YARD (FRONT/BACK),1053801
50288,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,348,SIDEWALK,1054064
50289,HANDCUFF TOO TIGHT,409,ALLEY,1053319
50290,EXCESSIVE FORCE / ON DUTY - INJURY,1442,SIDEWALK,1054258
50291,KICKED,513,RESIDENCE,1054446
50292,EXCESSIVE FORCE / ON DUTY - NO INJURY,1736,STREET,1013283
50293,PUSH/PULL/GRAB,14,PARK PROPERTY,1054039
50294,MISCELLANEOUS,699,STREET,1054051
50295,EXCESSIVE FORCE / ON DUTY - INJURY,1442,POLICE FACILITY/VEH PARKING LOT,1054258
50296,OPEN HAND STRIKE (SLAP),489,STREET,1054814
50297,IMPACT WEAPON - AUTHORIZED (BATON / ASP),464,"SCHOOL, PUBLIC, BUILDING",1054855
50298,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,763,STREET,1054072
50299,MISCELLANEOUS,100,STREET,1054918
50300,PUSH/PULL/GRAB,496,STREET,1054200
50301,EXCESSIVE FORCE / OFF DUTY - INJURY,1040,BAR OR TAVERN,1054080
50302,EXCESSIVE FORCE / ON DUTY - INJURY,1042,STREET,1032363
50303,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,577,STREET,1053982
50304,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1247,RESIDENCE,1054914
50305,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,281,STREET,1054190
50306,TWISTED EXTREMITIES (WRIST/ARM/LEG),730,ALLEY,1054202
50307,EXCESSIVE FORCE / ON DUTY - NO INJURY,1107,STREET,1054201
50308,MISCELLANEOUS,329,SIDEWALK,1053780
50309,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,97,STREET,1054825
50310,"IMPACT WEAPON - UNAUTHORIZED (FLASHLIGHT, HANDCUFFS, ETC)",462,POLICE FACILITY/VEH PARKING LOT,1046228
50311,"IMPACT WEAPON - UNAUTHORIZED (FLASHLIGHT, HANDCUFFS, ETC)",462,POLICE FACILITY/VEH PARKING LOT,1046228
50312,TWISTED EXTREMITIES (WRIST/ARM/LEG),376,RESIDENCE,1053994
50313,MISCELLANEOUS,255,STREET,1054664
50314,EXCESSIVE FORCE / ON DUTY - INJURY,1072,RESIDENCE PORCH/HALLWAY,1054753
50315,NO INJURY,553,LAKEFRONT/WATERFRONT/RIVERBANK,1054645
50316,PUSH/PULL/GRAB,980,STREET,1054795
50317,CLOSED HAND STRIKE (PUNCH),491,RESIDENCE PORCH/HALLWAY,1054187
50318,"IMPACT WEAPON - UNAUTHORIZED (FLASHLIGHT, HANDCUFFS, ETC)",462,POLICE FACILITY/VEH PARKING LOT,1046228
50319,NO INJURY,267,RESIDENCE,1054900
50320,CLOSED HAND STRIKE (PUNCH),214,POLICE FACILITY/VEH PARKING LOT,1054396
50321,PUSH/PULL/GRAB,496,STREET,1054200
50322,EXCESSIVE FORCE / ON DUTY - INJURY,167,POLICE FACILITY/VEH PARKING LOT,1053725
50323,OPEN HAND STRIKE (SLAP),771,GAS STATION,1054393
50324,HANDCUFF TOO TIGHT,90,POLICE FACILITY/VEH PARKING LOT,1054996
50325,INJURY,76,RESIDENCE,1053229
50326,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,577,STREET,1053982
50327,EXCESSIVE FORCE / ON DUTY - NO INJURY,1107,STREET,1054201
50328,INJURY,76,STREET,1053229
50329,KNEE STRIKE,64,OTHER RAILROAD PROP / TRAIN DEPOT,1054772
50330,CLOSED HAND STRIKE (PUNCH),58,POLICE FACILITY/VEH PARKING LOT,1053563
50331,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,867,STREET,1054138
50332,EXCESSIVE FORCE / ON DUTY - INJURY,169,APARTMENT,1053891
50333,TASER (PROBE DISCHARGE),238,CHA PARKING LOT/GROUNDS,1053676
50334,EXCESSIVE FORCE / ON DUTY - INJURY,123,SIDEWALK,1055154
50335,OPEN HAND STRIKE (SLAP),613,POLICE FACILITY/VEH PARKING LOT,1054306
50336,HANDCUFF TOO TIGHT,90,POLICE FACILITY/VEH PARKING LOT,1054996
50337,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,558,STREET,1054231
50338,MISCELLANEOUS,162,STREET,1054145
50339,CLOSED HAND STRIKE (PUNCH),309,OTHER,1054253
50340,MISCELLANEOUS,142,CTA BUS STOP,1054640
50341,"RACIAL / ETHNIC, ETC.",538,GAS STATION,1054233
50342,KICKED,534,STREET,1042583
50343,KICKED,534,STREET,1042583
50344,TWISTED EXTREMITIES (WRIST/ARM/LEG),164,STREET,1054890
50345,HANDCUFF TOO TIGHT,754,STREET,1054452
50346,FIREARM USED AS AN IMPACT WEAPON,172,SIDEWALK,1053758
50347,TWISTED EXTREMITIES (WRIST/ARM/LEG),95,STREET,1054756
50348,DRAGGED,1052,APARTMENT,1054643
50349,IMPACT WEAPON - AUTHORIZED (BATON / ASP),464,"SCHOOL, PUBLIC, BUILDING",1054855
50350,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,223,OTHER,1053800
50351,EXCESSIVE FORCE / ON DUTY - INJURY,678,RESIDENCE PORCH/HALLWAY,1054980
50352,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,763,STREET,1054072
50353,EXCESSIVE FORCE / ON DUTY - NO INJURY,356,STREET,1054550
50354,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1443,RESIDENCE,1053870
50355,CHOKED,1729,"SCHOOL, PUBLIC, BUILDING",1053632
50356,VEHICLE,892,STREET,1054790
50357,CIVIL SUITS - THIRD PARTY ,758,POLICE FACILITY/VEH PARKING LOT,1054693
50358,MISCELLANEOUS,329,SIDEWALK,1053780
50359,MISCELLANEOUS,659,STREET,1053142
50360,NEGLECT OF DUTY,767,POLICE FACILITY/VEH PARKING LOT,1053927
50361,KNEE STRIKE,357,ALLEY,1053847
50362,KNEE STRIKE,64,OTHER RAILROAD PROP / TRAIN DEPOT,1054772
50363,EXCESSIVE FORCE / ON DUTY - INJURY,310,RESIDENCE,1054999
50364,EXCESSIVE FORCE / ON DUTY - INJURY,105,POLICE FACILITY/VEH PARKING LOT,1054701
50365,EXCESSIVE FORCE / ON DUTY - INJURY,1442,POLICE FACILITY/VEH PARKING LOT,1054258
50366,EXCESSIVE FORCE / ON DUTY - NO INJURY,148,ALLEY,1053931
50367,EXCESSIVE FORCE / ON DUTY - INJURY,625,STREET,1054349
50368,TWISTED EXTREMITIES (WRIST/ARM/LEG),164,POLICE FACILITY/VEH PARKING LOT,1054890
50369,ALTERCATION / DISTURBANCE - OTHER,677,POLICE FACILITY/VEH PARKING LOT,1054766
50370,CLOSED HAND STRIKE (PUNCH),599,STREET,1054009
50371,HANDCUFF TOO TIGHT,103,STREET,1054826
50372,CLOSED HAND STRIKE (PUNCH),196,POLICE FACILITY/VEH PARKING LOT,1050400
50373,NO INJURY,553,LAKEFRONT/WATERFRONT/RIVERBANK,1054645
50374,PROPER CARE - INJURY / DEATH,1205,POLICE FACILITY/VEH PARKING LOT,1043217
50375,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,221,STREET,1054947
50376,"IMPACT WEAPON - UNAUTHORIZED (FLASHLIGHT, HANDCUFFS, ETC)",801,STREET,1054695
50377,KICKED,790,STREET,1054611
50378,PUSH/PULL/GRAB,719,RESIDENCE,1054603
50379,EXCESSIVE FORCE / ON DUTY - INJURY,1442,SIDEWALK,1054258
50380,CLOSED HAND STRIKE (PUNCH),251,POLICE FACILITY/VEH PARKING LOT,1054942
50381,INJURY,1044,RESIDENCE,1053714
50382,CLOSED HAND STRIKE (PUNCH),196,HOSPITAL BUILDING/GROUNDS,1050400
50383,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,60,STREET,1054574
50384,STOMPED / STEPPED ON,843,STREET,1054149
50385,TWISTED EXTREMITIES (WRIST/ARM/LEG),387,SIDEWALK,1054527
50386,EXCESSIVE FORCE / ON DUTY - INJURY,78,POLICE FACILITY/VEH PARKING LOT,1054718
50387,INJURY,548,APARTMENT,1054821
50388,INSUBORDINATION,1092,RESIDENCE,1036412
50389,EXCESSIVE FORCE / ON DUTY - INJURY,219,STREET,1054315
50390,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,357,CTA BUS STOP,1054159
50391,EXCESSIVE FORCE / ON DUTY - INJURY,625,STREET,1054349
50392,CLOSED HAND STRIKE (PUNCH),214,POLICE FACILITY/VEH PARKING LOT,1054396
50393,EXCESSIVE FORCE / ON DUTY - INJURY,133,STREET,1054857
50394,EXCESSIVE FORCE / ON DUTY - INJURY,376,STREET,1054833
50395,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,221,STREET,1054947
50396,DRAGGED,519,STREET,1055023
50397,EXCESSIVE FORCE / ON DUTY - INJURY,760,ALLEY,1054317
50398,PUSH/PULL/GRAB,528,STREET,1053973
50399,EXCESSIVE FORCE / ON DUTY - INJURY,711,ALLEY,1054308
50400,"RACIAL / ETHNIC, ETC.",379,STREET,1054215
50401,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1154,RESIDENCE,1054207
50402,CLOSED HAND STRIKE (PUNCH),283,STREET,1054048
50403,EXCESSIVE FORCE / ON DUTY - NO INJURY,1495,STREET,1034754
50404,TAKE DOWN (THROWN TO GROUND),276,PARK PROPERTY,1055317
50405,MISCELLANEOUS,699,STREET,1054051
50406,TAKE DOWN (THROWN TO GROUND),491,STREET,1054329
50407,EXCESSIVE FORCE / ON DUTY - INJURY,760,ALLEY,1054317
50408,"RACIAL / ETHNIC, ETC.",379,STREET,1054215
50409,OPEN HAND STRIKE (SLAP),613,POLICE FACILITY/VEH PARKING LOT,1054306
50410,PUSH/PULL/GRAB,216,POLICE FACILITY/VEH PARKING LOT,1053646
50411,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1145,,1054661
50412,EXCESSIVE FORCE / ON DUTY - INJURY,231,STREET,1053788
50413,EXCESSIVE FORCE / ON DUTY - INJURY,154,STREET,1054394
50414,OPEN HAND STRIKE (SLAP),771,GAS STATION,1054393
50415,"RACIAL / ETHNIC, ETC.",379,STREET,1054215
50416,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1572,RESIDENCE,1054335
50417,MISCELLANEOUS,627,STREET,1054336
50418,PUSH/PULL/GRAB,216,NURSING HOME/RETIREMENT HOME,1053646
50419,DRAGGED,894,SIDEWALK,1033008
50420,"RACIAL / ETHNIC, ETC.",169,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,1053867
50421,KNEE STRIKE,357,ALLEY,1053847
50422,MISCELLANEOUS,1,STREET,1054652
50423,PUSH/PULL/GRAB,528,STREET,1053973
50424,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,558,STREET,1054231
50425,"RACIAL / ETHNIC, ETC.",687,STREET,1054168
50426,PUSH/PULL/GRAB,399,SIDEWALK,1055108
50427,HANDCUFF TOO TIGHT,338,STREET,1055247
50428,THREATS,469,STREET,1051595
50429,MISCELLANEOUS,162,STREET,1054145
50430,EXCESSIVE FORCE / ON DUTY - INJURY,461,STREET,1054071
50431,TAKE DOWN (THROWN TO GROUND),625,CHA PARKING LOT/GROUNDS,1055200
50432,EXCESSIVE FORCE / ON DUTY - INJURY,915,STREET,1036535
50433,EXCESSIVE FORCE / ON DUTY - INJURY,376,STREET,1054833
50434,PUSH/PULL/GRAB,767,RESIDENCE-GARAGE,1054001
50435,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,28,STREET,1055258
50436,THREATS,469,RESIDENCE,1051595
50437,TWISTED EXTREMITIES (WRIST/ARM/LEG),730,ALLEY,1054202
50438,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1145,,1054661
50439,KNEE STRIKE,200,RESIDENCE PORCH/HALLWAY,1054469
50440,PUSH/PULL/GRAB,767,ALLEY,1054001
50441,EXCESSIVE FORCE / ON DUTY - INJURY,660,STREET,1055205
50442,"RACIAL / ETHNIC, ETC.",957,STREET,1055147
50443,TWISTED EXTREMITIES (WRIST/ARM/LEG),318,STREET,1054673
50444,CLOSED HAND STRIKE (PUNCH),599,STREET,1054009
50445,DOMESTIC ALTERCATION - PHYSICAL ABUSE,706,RESIDENCE,1055829
50446,NO INJURY,1004,,1055917
50447,DOMESTIC ALTERCATION - PHYSICAL ABUSE,1572,RESIDENCE,1054335
50448,MISCELLANEOUS,298,SIDEWALK,1054985
50449,FALSE,21,GOVERNMENT BUILDING/PROPERTY,1054887
50450,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,106,STREET,1054663
50451,HANDCUFF TOO TIGHT,417,STREET,1055212
50452,IMPACT WEAPON - AUTHORIZED (BATON / ASP),477,RESIDENCE,1055302
50453,EXCESSIVE FORCE / ON DUTY - NO INJURY,602,STREET,1050402
50454,MISCELLANEOUS,698,STREET,1055171
50455,TWISTED EXTREMITIES (WRIST/ARM/LEG),164,STREET,1054890
50456,"RACIAL / ETHNIC, ETC.",93,POLICE FACILITY/VEH PARKING LOT,1053665
50457,"RACIAL / ETHNIC, ETC.",379,STREET,1054215
50458,EXCESSIVE FORCE / ON DUTY - INJURY,1072,RESIDENCE PORCH/HALLWAY,1054753
50459,EXCESSIVE FORCE / ON DUTY - INJURY,1355,STREET,1021173
50460,TWISTED EXTREMITIES (WRIST/ARM/LEG),164,POLICE FACILITY/VEH PARKING LOT,1054890
50461,"RACIAL / ETHNIC, ETC.",176,RESIDENTIAL YARD (FRONT/BACK),1053823
50462,"RACIAL / ETHNIC, ETC.",176,RESIDENTIAL YARD (FRONT/BACK),1053823
50463,NO INJURY,1004,RESIDENCE,1055917
50464,MISCELLANEOUS,593,STREET,1053717
50465,EXCESSIVE FORCE / ON DUTY - INJURY,202,POLICE FACILITY/VEH PARKING LOT,1053230
50466,MISCELLANEOUS,255,STREET,1054664
50467,PUSH/PULL/GRAB,14,PARK PROPERTY,1054039
50468,STOMPED / STEPPED ON,1001,RESIDENTIAL YARD (FRONT/BACK),1053918
50469,"RACIAL / ETHNIC, ETC.",169,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,1053867
50470,NO INJURY,1004,,1055917
50471,MISCELLANEOUS,599,CTA PLATFORM,1053778
50472,CHOKED,349,VACANT LOT/LAND,1054035
50473,NO INJURY,1004,RESIDENCE,1055917
50474,EXCESSIVE FORCE / ON DUTY - INJURY,49,STREET,1054582
50475,MISCELLANEOUS,627,STREET,1054336
50476,CLOSED HAND STRIKE (PUNCH),942,STREET,1055758
50477,CLOSED HAND STRIKE (PUNCH),822,JAIL / LOCK-UP FACILITY,1055542
50478,MISCELLANEOUS,952,POLICE FACILITY/VEH PARKING LOT,1053310
50479,MISCELLANEOUS,599,CTA PLATFORM,1053778
50480,MISCELLANEOUS,546,STREET,1054372
50481,MISCELLANEOUS,952,STREET,1053310
50482,"RACIAL / ETHNIC, ETC.",687,STREET,1054168
50483,EXCESSIVE FORCE / OFF DUTY - NO INJURY,134,STREET,1056256
50485,TWISTED EXTREMITIES (WRIST/ARM/LEG),95,STREET,1054756
50486,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,567,POLICE FACILITY/VEH PARKING LOT,1042432
50487,EXCESSIVE FORCE / ON DUTY - INJURY,231,STREET,1053788
50489,CLOSED HAND STRIKE (PUNCH),251,POLICE FACILITY/VEH PARKING LOT,1054942
50490,CLOSED HAND STRIKE (PUNCH),106,STREET,1054561
50491,PUSH/PULL/GRAB,619,STREET,1055029
50492,MISCELLANEOUS,142,CTA BUS STOP,1054640
50493,"RACIAL / ETHNIC, ETC.",261,STREET,1054658
50494,MISCELLANEOUS,539,CTA BUS STOP,1055061
50495,CLOSED HAND STRIKE (PUNCH),283,STREET,1054048
50496,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,61,STREET,1056262
50497,PUSH/PULL/GRAB,399,SIDEWALK,1055108
50498,CLOSED HAND STRIKE (PUNCH),162,POLICE FACILITY/VEH PARKING LOT,1054776
50499,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,106,STREET,1054663
50500,"RACIAL / ETHNIC, ETC.",173,STREET,1053924
50501,NO INJURY,267,RESIDENCE,1054900
50502,PUSH/PULL/GRAB,980,STREET,1054795
50503,MISCELLANEOUS,95,RESIDENTIAL YARD (FRONT/BACK),1054987
